     1.000000   -0.000000
     0.849033    0.033244
     0.791373    0.045081
     0.698319    0.062179
     0.622930    0.074122
     0.547584    0.084348
     0.472364    0.092945
     0.397378    0.099929
     0.322736    0.105021
     0.248703    0.107162
     0.212039    0.106685
     0.175780    0.104674
     0.140112    0.100567
     0.105431    0.093444
     0.072306    0.082175
     0.056739    0.074584
     0.042124    0.065485
     0.028742    0.054746
     0.016969    0.042361
     0.007420    0.028118
     0.001367    0.012065
     0.000116    0.003522
     0.000243   -0.005093
     0.001766   -0.013501
     0.004703   -0.021425
     0.013998   -0.035542
     0.026098   -0.048004
     0.039652   -0.059410
     0.054192   -0.070059
     0.084947   -0.089861
     0.117043   -0.108267
     0.149977   -0.125678
     0.217320   -0.158548
     0.298907   -0.195363
     0.299106   -0.195419
     0.299180   -0.195414
     0.299236   -0.195393
     0.299282   -0.195356
     0.299326   -0.195289
     0.299384   -0.195119
     0.299861   -0.193252
     0.336470   -0.050181
     0.336568   -0.049765
     0.336649   -0.049566
     0.336870   -0.049307
     0.337289   -0.049114
     0.369433   -0.041412
     0.526494   -0.019435
     0.827856   -0.006495
     0.986186   -0.004991
     1.000000   -0.000000
