0	0	0	0
0.000214	0.007488	0.000477	-0.008277
0.000911	-0.003745	0.003169	-0.012044
0.000996	0.001581	0.006526	-0.015111
0.002378	0.013436	0.010864	-0.017522
0.005828	0.019766	0.015234	-0.019204
0.009904	0.025918	0.020262	-0.020344
0.014939	0.032186	0.025295	-0.021357
0.020909	0.038086	0.046072	-0.025216
0.027503	0.043751	0.087342	-0.03219
0.034713	0.048971	0.108141	-0.035542
0.042216	0.053633	0.129263	-0.038781
0.050639	0.057575	0.152287	-0.042071
0.059035	0.060889	0.163016	-0.04346
0.067408	0.063666	0.180067	-0.045442
0.075751	0.065777	0.212624	-0.048451
0.092084	0.069158	0.228441	-0.049617
0.102633	0.070887	0.244265	-0.050625
0.119569	0.073543	0.27591	-0.052705
0.127874	0.074767	0.307872	-0.054799
0.136158	0.075517	0.371189	-0.058357
0.155878	0.076528	0.434536	-0.061218
0.157787	0.076635	0.497923	-0.06316
0.199413	0.077832	0.561356	-0.064057
0.231472	0.077956	0.624845	-0.063656
0.247015	0.077785	0.688391	-0.061955
0.262556	0.077551	0.720183	-0.060678
0.293313	0.076938	0.750715	-0.059186
0.32438	0.076153	0.808938	-0.055825
0.386178	0.074153	0.863997	-0.052263
0.447944	0.071424	0.865928	-0.008034
0.509672	0.067841	1	0
0.571355	0.063212	1.0001	0
0.633301	0.057333	1.0002	0
0.694561	0.050279	1.0003	0
0.755774	0.042148	1.0004	0
0.796774	0.036264	1.0005	0
0.878112	0.02389	1.0006	0
0.938951	0.014468	1.0007	0
1	0	1.0008	0
