     1.000000   -0.000000
     0.856172    0.041690
     0.711310    0.080274
     0.565176    0.114325
     0.491528    0.128868
     0.417431    0.140930
     0.342848    0.149553
     0.305412    0.151970
     0.267916    0.152727
     0.230424    0.151443
     0.193126    0.147576
     0.156287    0.140552
     0.120460    0.129740
     0.103139    0.122712
     0.086374    0.114514
     0.070302    0.105102
     0.055053    0.094435
     0.040791    0.082467
     0.027841    0.069085
     0.016706    0.054138
     0.008016    0.037641
     0.002259    0.019810
     0.000008    0.001168
     0.001800   -0.017555
     0.007334   -0.035511
     0.015686   -0.052270
     0.025785   -0.068054
     0.037008   -0.083063
     0.049066   -0.097431
     0.074829   -0.124734
     0.102076   -0.150636
     0.159092   -0.199733
     0.229498   -0.254839
     0.229628   -0.254908
     0.229686   -0.254918
     0.229767   -0.254905
     0.229816   -0.254879
     0.229906   -0.254797
     0.229988   -0.254680
     0.230135   -0.254387
     0.231567   -0.251197
     0.341377   -0.006697
     0.341868   -0.005651
     0.342163   -0.005286
     0.342679   -0.005025
     0.402311    0.005833
     0.458001    0.008965
     0.556680    0.007935
     0.574846    0.007186
     0.901316   -0.003234
     0.988133   -0.001405
     1.000000   -0.000000
