0.0	0.0
0.000264	0.009051
0.002852	0.015449
0.00656	0.022007
0.011292	0.028582
0.016955	0.035034
0.023449	0.041217
0.030673	0.046982
0.038521	0.05217
0.046888	0.056623
0.0556	0.06034
0.064539	0.063462
0.073655	0.06607
0.082899	0.068247
0.09222	0.070077
0.110888	0.073044
0.12919	0.075686
0.138137	0.076879
0.147201	0.07752
0.168067	0.078227
0.170294	0.078289
0.173906	0.078377
0.211673	0.07878
0.242732	0.078377
0.258058	0.078024
0.273314	0.077633
0.303821	0.076744
0.334323	0.0757
0.395305	0.073151
0.456254	0.069898
0.517134	0.065778
0.577921	0.060613
0.638691	0.054246
0.669006	0.050617
0.699232	0.046719
0.729409	0.04257
0.759552	0.038201
0.819742	0.028951
0.879842	0.019297
0.939901	0.009555
9.70E-01	0.004726
0.999956	-0.000052
1.0	0.0
